timestamp,open,high,low,close,volume,vwap,atr_14,spread_pct,liquidity_score,oi,mse_state,regime,ipse_alignment,microstructure_state,mps_state
2026-06-01T00:00:00Z,73674.39,73685.5,73654.06,73684.43,3.76233,73674.66333333,73.68443,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:01:00Z,73684.42,73684.43,73667.45,73667.46,10.59377,73673.11333333,73.66746,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:02:00Z,73667.46,73758.0,73667.44,73758.0,19.85803,73727.81333333,90.56,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:03:00Z,73758.0,73824.0,73757.99,73823.99,10.59691,73801.99333333,73.82399,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:04:00Z,73824.0,73872.0,73800.0,73861.33,18.36501,73844.44333333,73.86133,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:05:00Z,73861.33,73879.67,73806.0,73831.53,23.4713,73839.06666667,73.83153,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:06:00Z,73831.52,73872.5,73806.0,73806.01,4.04182,73828.17,73.80601,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:07:00Z,73806.01,73806.01,73748.0,73750.94,4.74638,73768.31666667,73.75094,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:08:00Z,73750.94,73762.0,73732.48,73732.49,2.38447,73742.32333333,73.73249,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:09:00Z,73732.48,73764.37,73732.48,73753.75,14.27152,73750.2,73.75375,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:10:00Z,73753.74,73788.0,73732.97,73781.97,7.48255,73767.64666667,73.78197,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:11:00Z,73781.98,73781.98,73765.81,73774.02,1.48925,73773.93666667,73.77402,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:12:00Z,73774.03,73777.62,73718.57,73718.58,6.5659,73738.25666667,73.71858,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:13:00Z,73718.58,73733.6,73718.57,73733.6,2.81439,73728.59,73.7336,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:14:00Z,73733.6,73806.16,73733.59,73806.15,6.14788,73781.96666667,51.64214286,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:15:00Z,73806.15,73847.23,73806.14,73816.0,5.18185,73823.12333333,53.36428571,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:16:00Z,73816.01,73845.28,73802.98,73828.0,7.08168,73825.42,49.91714286,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:17:00Z,73828.0,73828.0,73763.27,73763.27,3.51465,73784.84666667,49.82571429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:18:00Z,73763.27,73763.27,73736.0,73736.0,1.03698,73745.09,46.63071429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:19:00Z,73736.01,73740.97,73724.57,73730.26,3.86501,73731.93333333,42.54,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:20:00Z,73730.27,73745.66,73720.94,73745.66,5.1044,73737.42,39.55571429,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:21:00Z,73745.65,73781.95,73745.65,73781.94,3.05241,73769.84666667,38.005,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:22:00Z,73781.95,73818.0,73781.94,73785.58,3.86562,73795.17333333,38.47214286,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:23:00Z,73785.25,73812.0,73763.18,73812.0,3.46445,73795.72666667,39.68142857,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:24:00Z,73812.0,73826.0,73802.25,73802.25,2.42757,73810.16666667,37.44714286,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:25:00Z,73802.25,73834.0,73802.25,73834.0,3.82118,73823.41666667,38.56,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:26:00Z,73833.99,73834.0,73818.0,73818.01,2.08385,73823.33666667,35.485,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:27:00Z,73818.01,73868.57,73818.0,73868.57,2.59925,73851.71333333,38.02357143,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:28:00Z,73868.57,73928.01,73868.56,73925.33,7.03807,73907.3,37.08642857,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:29:00Z,73925.34,73971.31,73925.34,73960.0,11.58717,73952.21666667,37.43571429,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:30:00Z,73960.0,74092.0,73959.99,73978.0,34.95683,74009.99666667,43.84357143,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:31:00Z,73978.01,73978.01,73859.0,73859.58,13.66922,73898.86333333,47.72071429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:32:00Z,73859.59,73877.78,73848.0,73868.79,7.22896,73864.85666667,47.9,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:33:00Z,73868.79,73890.0,73836.0,73836.0,3.29284,73854.0,50.58571429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:34:00Z,73836.01,73917.43,73836.0,73917.43,4.25642,73890.28666667,54.63642857,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:35:00Z,73917.43,73930.0,73892.0,73892.01,4.79642,73904.67,54.75785714,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:36:00Z,73892.01,73900.0,73884.61,73889.67,3.3227,73891.42666667,53.28142857,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:37:00Z,73889.66,73940.0,73889.66,73929.41,6.20612,73919.69,53.39,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:38:00Z,73929.42,73929.42,73894.0,73898.74,2.55643,73907.38666667,54.22357143,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:39:00Z,73898.75,73898.75,73892.52,73898.75,1.8368,73896.67333333,52.40071429,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:40:00Z,73898.75,73925.34,73868.56,73925.33,3.53253,73906.41,55.31357143,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:41:00Z,73925.33,73932.82,73914.08,73923.17,1.32976,73923.35666667,53.04,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:42:00Z,73923.17,73946.0,73923.17,73946.0,4.62502,73938.39,50.42428571,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:43:00Z,73946.0,73966.84,73945.99,73961.02,2.39063,73957.95,48.62928571,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:44:00Z,73961.02,73964.48,73946.0,73946.01,2.46539,73952.16333333,40.52,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:45:00Z,73946.0,73982.0,73942.0,73981.99,5.97177,73968.66333333,34.87642857,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:46:00Z,73982.0,74014.0,73976.0,74000.93,10.69297,73996.97666667,35.46357143,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:47:00Z,74000.93,74016.16,73976.0,73976.0,9.60315,73989.38666667,34.475,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:48:00Z,73976.0,73997.33,73971.3,73973.56,6.36634,73980.73,30.51785714,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:49:00Z,73973.55,73989.96,73962.72,73962.72,3.95288,73971.8,29.74928571,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:50:00Z,73962.73,73962.73,73900.36,73921.99,5.60812,73928.36,33.105,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:51:00Z,73922.0,73979.23,73922.0,73970.4,4.68731,73957.21,33.59785714,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:52:00Z,73970.41,73992.0,73970.4,73987.36,2.19609,73983.25333333,32.61071429,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:53:00Z,73987.36,74000.0,73980.01,73980.01,4.40577,73986.67333333,33.59357143,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:54:00Z,73980.0,73980.01,73924.0,73924.01,3.46858,73942.67333333,33.53857143,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:55:00Z,73924.01,73929.46,73896.0,73910.0,4.36451,73911.82,34.59,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:56:00Z,73910.01,73916.74,73910.0,73912.42,0.50288,73913.05333333,33.44071429,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T00:57:00Z,73912.41,73914.1,73906.83,73908.01,0.9418,73909.64666667,32.47071429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:58:00Z,73908.02,73908.02,73892.66,73892.66,2.53246,73897.78,32.24785714,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T00:59:00Z,73892.67,73908.37,73876.17,73885.0,2.41335,73889.84666667,31.69071429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:00:00Z,73885.01,73916.01,73862.0,73873.23,5.8094,73883.74666667,32.83428571,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:01:00Z,73873.22,73877.49,73844.0,73844.0,2.06846,73855.16333333,32.35785714,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:02:00Z,73844.0,73855.42,73820.0,73835.99,3.75518,73837.13666667,33.02857143,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:03:00Z,73835.99,73836.0,73770.0,73778.56,6.98634,73794.85333333,35.79714286,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:04:00Z,73778.55,73785.28,73736.0,73741.15,5.31386,73754.14333333,34.86214286,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:05:00Z,73741.16,73749.76,73685.14,73685.15,6.80029,73706.68333333,35.38928571,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:06:00Z,73685.14,73696.0,73676.0,73680.01,3.34072,73684.00333333,35.275,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:07:00Z,73680.0,73680.0,73613.33,73613.33,8.53681,73635.55333333,38.61,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:08:00Z,73613.33,73618.0,73595.0,73595.0,11.95974,73602.66666667,36.25214286,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:09:00Z,73595.01,73612.0,73576.0,73596.79,28.45554,73594.93,36.43357143,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:10:00Z,73596.79,73613.81,73580.0,73609.33,11.11622,73601.04666667,38.36714286,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:11:00Z,73609.33,73632.0,73609.33,73620.7,4.21427,73620.67666667,39.46714286,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:12:00Z,73620.7,73620.71,73601.48,73613.07,4.96754,73611.75333333,39.74357143,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:13:00Z,73613.06,73624.93,73591.98,73591.98,4.81844,73602.96333333,39.79714286,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:14:00Z,73591.98,73604.0,73573.0,73573.0,7.79117,73583.33333333,38.15357143,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:15:00Z,73573.0,73606.01,73573.0,73595.84,7.25812,73591.61666667,38.11928571,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:16:00Z,73595.84,73626.0,73595.84,73600.0,3.52708,73607.28,37.74357143,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:17:00Z,73600.0,73628.02,73598.0,73619.99,7.83198,73615.33666667,35.17357143,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:18:00Z,73619.99,73620.0,73605.41,73609.06,3.73114,73611.49,32.69571429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:19:00Z,73609.06,73609.07,73600.18,73600.19,1.96413,73603.14666667,28.715,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:20:00Z,73600.19,73632.0,73600.18,73626.78,5.48197,73619.65333333,29.55928571,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:21:00Z,73626.78,73635.75,73610.5,73635.74,4.66666,73627.33,26.6,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:22:00Z,73635.75,73649.92,73628.0,73628.01,3.29227,73635.31,26.52285714,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:23:00Z,73628.01,73628.01,73619.99,73619.99,1.914,73622.66333333,24.52428571,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:24:00Z,73619.99,73619.99,73601.66,73601.69,8.26881,73607.78,23.41857143,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:25:00Z,73601.68,73640.47,73590.0,73640.46,25.65012,73623.64333333,25.40428571,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:26:00Z,73640.46,73643.63,73624.0,73627.83,4.3352,73631.82,25.43285714,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:27:00Z,73627.84,73639.7,73622.25,73637.11,6.94079,73633.02,24.32571429,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:28:00Z,73637.1,73637.1,73620.46,73620.47,1.82725,73626.01,23.30071429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:29:00Z,73620.46,73630.53,73604.0,73604.0,2.09023,73612.84333333,22.83785714,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:30:00Z,73604.01,73626.04,73600.0,73600.0,11.71737,73608.68,22.54357143,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:31:00Z,73600.0,73600.0,73596.0,73596.0,5.08475,73597.33333333,20.685,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:32:00Z,73596.0,73597.01,73592.0,73593.0,6.90084,73594.00333333,20.00071429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:33:00Z,73593.0,73606.01,73593.0,73598.64,5.13024,73599.21666667,20.295,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:34:00Z,73598.64,73616.0,73598.63,73615.98,1.90829,73610.20333333,19.26285714,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:35:00Z,73615.99,73640.0,73615.99,73633.13,8.38719,73629.70666667,19.175,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:36:00Z,73633.13,73642.0,73627.91,73640.0,1.35886,73636.63666667,18.61571429,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:37:00Z,73639.99,73640.0,73612.52,73625.31,5.02509,73625.94333333,20.00571429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:38:00Z,73625.31,73625.33,73605.88,73605.88,1.18316,73612.36333333,20.08571429,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:39:00Z,73605.89,73620.74,73600.0,73603.9,1.01507,73608.21333333,17.96214286,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:40:00Z,73603.9,73652.0,73603.9,73651.99,6.5669,73635.96333333,19.99571429,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
2026-06-01T01:41:00Z,73651.99,73651.99,73610.26,73610.27,2.28478,73624.17333333,21.73,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:42:00Z,73610.27,73610.27,73554.0,73554.0,49.38554,73572.75666667,24.56,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:43:00Z,73554.0,73554.01,73504.1,73504.1,15.0415,73520.73666667,26.23,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:44:00Z,73504.1,73504.11,73461.35,73498.0,19.67305,73487.82,27.42428571,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:45:00Z,73498.0,73498.0,73462.22,73484.0,7.07579,73481.40666667,29.69428571,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:46:00Z,73484.0,73484.0,73447.11,73448.44,2.94517,73459.85,31.97142857,0.05,0.9,0,TREND_DOWN,NORMAL,NEUTRAL,HEALTHY,ALLOW
2026-06-01T01:47:00Z,73448.44,73484.0,73448.43,73479.67,5.00955,73470.7,33.58285714,0.05,0.9,0,TREND_UP,NORMAL,ALIGNED,HEALTHY,ALLOW
